Threshold,Elbows,Wrists,WristThreshold,ElbowThreshold,
0.00015,0,0,-0.0003,0.0006,
0.00995,0.0061,0.004,0.0095,0.0104,
0.02015,0.0242,0.014,0.0194,0.0209,
0.03,0.0503,0.03,0.0293,0.0307,
0.0401,0.0884,0.054,0.0397,0.0405,
0.04995,0.1245,0.09,0.0496,0.0503,
0.0601,0.1666,0.124,0.0595,0.0607,
0.07,0.2167,0.16,0.0694,0.0706,
0.08015,0.2708,0.2,0.0793,0.081,
0.09,0.3209,0.244,0.0898,0.0902,
0.10015,0.371,0.286,0.1003,0.1,j
0.1103,0.4191,0.332,0.1096,0.111,
0.1205,0.4632,0.368,0.1201,0.1209,
0.13035,0.5073,0.406,0.1306,0.1301,
0.14015,0.5534,0.442,0.1398,0.1405,
0.15065,0.5935,0.48,0.151,0.1503,
0.15955,0.6296,0.512,0.1602,0.1589,
0.1703,0.6737,0.544,0.1707,0.1699,
0.1802,0.7018,0.574,0.18,0.1804,
0.19,0.7299,0.6,0.1898,0.1902,
0.20045,0.756,0.624,0.2009,0.2,
0.21,0.7741,0.65,0.2102,0.2098,
0.21985,0.7882,0.668,0.2201,0.2196,
0.23,0.8043,0.69,0.2299,0.2301,
0.24015,0.8144,0.708,0.2404,0.2399,
0.25,0.8265,0.722,0.2503,0.2497,
0.2598,0.8346,0.738,0.2601,0.2595,
0.26995,0.8427,0.752,0.27,0.2699,
0.28015,0.8528,0.764,0.2805,0.2798,
0.28995,0.8589,0.774,0.2903,0.2896,
0.3001,0.865,0.784,0.3008,0.2994,
0.31025,0.8711,0.794,0.3107,0.3098,
0.32005,0.8752,0.804,0.3205,0.3196,
0.33025,0.8793,0.814,0.3304,0.3301,
0.34005,0.8854,0.822,0.3402,0.3399,
0.3499,0.8875,0.83,0.3507,0.3491,
0.36,0.8936,0.834,0.3605,0.3595,
0.37045,0.8997,0.842,0.371,0.3699,
0.38035,0.9018,0.846,0.3803,0.3804,
0.39015,0.9019,0.852,0.3907,0.3896,
