Threshold,LowerArms,Shoulders,UpperArms
0,0,0,0
0.025,0,0,0.000636132315521629
0.05,0.000651890482398957,0,0.00381679389312977
0.075,0.00395777643434115,0,0.00954198473282443
0.1,0.00987122431587918,0.00262123197903014,0.0190839694656489
0.125,0.0409279788481569,0.0104849279161206,0.0426208651399491
0.15,0.0749173300896623,0.0288335517693316,0.0674300254452926
0.175,0.109372837653777,0.0589777195281782,0.10176538556248
0.2,0.148948781074053,0.0982961992136304,0.144354680860468
0.225,0.185079537922545,0.142857142857143,0.178006553899191
0.25,0.234433838578806,0.203145478374836,0.202069087442148
0.275,0.269912704944899,0.305373525557012,0.241924434426281
0.3,0.302551841681659,0.406290956749672,0.276564443518396
0.325,0.329370397616776,0.484927916120577,0.3073718737964
0.35,0.35912155026112,0.575360419397117,0.340087701020969
0.375,0.389803194627548,0.651376146788991,0.376415118165918
0.4,0.420484838993976,0.689384010484928,0.41816781265193
0.425,0.450514592878005,0.740498034076016,0.454384735350015
0.45,0.470208787046681,0.762778505897772,0.499144457282847
0.475,0.488413466090769,0.799475753604194,0.540912936689839
0.5,0.503219392103021,0.815203145478375,0.571373098706268
0.525,0.520073856642363,0.845347313237221,0.599383440986494
0.55,0.531527463162725,0.858453473132372,0.626820790635122
0.575,0.548428361242015,0.867627785058978,0.649899923600982
0.6,0.558578186797579,0.874180865006553,0.667364360174013
0.625,0.567238497228555,0.882044560943643,0.68977579098239
0.65,0.57655069814193,0.891218872870249,0.712171436869787
0.675,0.588749062224585,0.892529488859764,0.730272005758339
0.7,0.597502239735456,0.895150720838794,0.744045927806085
0.725,0.602251207272039,0.905635648754915,0.756531800301808
0.75,0.606907307728726,0.908256880733945,0.765295588430284
0.775,0.610213193680668,0.913499344692005,0.77343902916422
0.8,0.614356704274799,0.918741808650065,0.780357560030055
0.825,0.619664695213886,0.925294888597641,0.784126999160242
0.85,0.626415767737612,0.927916120576671,0.788532570605952
0.875,0.628417872724756,0.931847968545216,0.795451101471786
0.9,0.631118301734247,0.934469200524246,0.797964060891911
0.925,0.636565593293176,0.939711664482307,0.803610327126702
0.95,0.6446204467817,0.950196592398427,0.806743633941368
0.975,0.649276547238388,0.952817824377457,0.812342545413218
1,0.654584538177474,0.958060288335518,0.818546019358627
